Title,lyrics
The Rise Of Bangtan,"But what will happen if BTS rises? Bang! Tan! So! Nyeon! Dan! Rise like the BTS Rise like the BTS Rise like the BTS Rise like the BTS Rise, be brave The brave BTS, we also get our popularity bravely, ge ge get it I’m Rap Monster, lightly sweeping away all of the rap retirees, be be beat it Lyrics? Completely godlike, 24/7, I’m always good The nobodies and nothings create a scene again today My feet sound the alarm, announcing my entrance to the K-Pop world Look at my first bat, I hit a homerun, if you’re not confident, put down your bat I shoot however I want on my stage but I still fill my ears with the cheers of the crowd Yes, I’m the Kang Baek Ho on stage, I proved it, I’m just holding the mic Are you all ready to go crazy? Ready to jump all you can? Tighten your stomachs and take a deep breath Are you all ready to go crazy? Ready to jump all you can? Then scream right now Who are we? The rising BTS Who are we? We will swallow you without fear Cuz we got fire fire fire Get higher higher higher If you don’t know us, get to know us well Who are we? Who? The rise of Bangtan Lalala la lala lalala lalalalala turn up! Lalala la lala lalala lalalalala turn up! Swallow your heart, I’m here, let everyone know Lalala la lala lalala lalalalala Who are we? Who? The rise of Bangtan When our music starts, people go crazy, go nuts Our style is No More Dream, stepping on our seniors’ backs on stage (I’m sorry man) What? What more can I say? From our debut till now, we climb up Climbing to the top is a matter of time, the first block of the dominos has been pushed down Yes, push it down, when you blink once, we’re captivating ears on stage Once you have a taste of my sensual rap banquet, you’ll run out of breath Your insides will burn, can’t nobody hold me down OK, I’m always on top of the 4 by 4 beat I’m a manly man style on top of the stage Are you all ready to go crazy? Ready to jump all you can? Tighten your stomachs and take a deep breath Are you all ready to go crazy? Ready to jump all you can? Then scream right now Who are we? The rising BTS Who are we? We will swallow you without fear Cuz we got fire fire fire Get higher higher higher If you don’t know us, get to know us well Who are we? Who? The rise of Bangtan The moment I go on top of the stage I feel the sound of your cheers Just stay like that forever Because even if I die this way, I don’t regret it Who are we? The rising BTS Who are we? We will swallow you without fear Cuz we got fire fire fire Get higher higher higher If you don’t know us, get to know us well Who are we? Who? The rise of Bangtan Rise like the BTS Rise like the BTS Rise like the BTS Rise like the BTS Who are we? Who? The rise of Bangtan The rise"
Tomorrow,"Same day, same moon 24/7 every moment repeats My life is in between Jobless twenty-somethings are afraid of tomorrow It’s funny, you think anything is possible when you’re a kid When you feel how hard it is to get through a day Keep feeling like the “Control” beat, keep downloading it Every single day is a repetition of ctrl+c, ctrl+v I have a long way to go but why am I running in place? I scream out of frustration but the empty air echoes I hope tomorrow will be different from today I’m just wishing Follow your dream like breaker Even if it breaks down, oh better Follow your dream like breaker Even if it breaks down, don’t ever run backwards, never Because the dawn right before the sun rises is the darkest Even in the far future, never forget the you of right now Wherever you are right now, you’re just taking a break Don’t give up, you know Don’t get too far away, tomorrow Don’t get far away, tomorrow Don’t get too far away, tomorrow The tomorrow we’ve been waiting for becomes the name of yesterday at some point Tomorrow becomes today, today becomes yesterday, tomorrow becomes yesterday and is behind me Life isn’t about living along but living through As you live through, you’ll disappear some day If you keep spacing out, you’ll be swept away, if you ain’t no got the guts, trust It’ll all become yesterday anyway so what’s the use? I wanted to become happy and strong but why am I getting weaker? Where am I going? I’m going here and there but I always come back here Yeah, I’ll probably flow somewhere, is there an end to this maze? I have a long way to go but why am I running in place? I scream out of frustration but the empty air echoes I hope tomorrow will be different from today I’m just wishing Follow your dream like breaker Even if it breaks down, oh better Follow your dream like breaker Even if it breaks down, don’t ever run backwards, never Because the dawn right before the sun rises is the darkest Even in the far future, never forget the you of right now Wherever you are right now, you’re just taking a break Don’t give up, you know Don’t get too far away, tomorrow Tomorrow, keep walking, we’re too young to stop Tomorrow, open the door, we see too much to shut the door When the dark night passes, a bright morning will come When tomorrow comes, the bright light will shine so don’t worry This isn’t a stop but just a pause in your life for a break Turn up your thumbs and press play so everyone can see Follow your dream like breaker Even if it breaks down, oh better Follow your dream like breaker Even if it breaks down, don’t ever run backwards, never Because the dawn right before the sun rises is the darkest Even in the far future, never forget the you of right now Wherever you are right now, you’re just taking a break Don’t give up, you know Don’t get too far away, tomorrow Don’t get far away, tomorrow Don’t get too far away, tomorrow"
Troll (돌림노래),"You can call late at night without feeling guilty (The next day) you can spit out nonsense you won’t even remember (anytime) you can come without letting me know You can mess up my day I don’t want to say this heart is in love We’re circling around the worst part We’re lost in a circle This boring spinning troll We’re going back to back, so it can never end Too easy and so simple (Rolly-rolly-rolly-roll) Without giving it much thought (Rolly-rolly-rolly-roll) We keep doing this In my head, I’m only streaming one melody all day long You know you’re my favorite But I’m your ex boyfriend (Ex boyfriend) I admit that I almost crossed thе line But now this is the ninth time Baby tеll me something (Tell me something) When you’re just lying next to me like this How do you feel? Do you still feel the same? We’re circling around the worst part We’re lost in a circle This boring spinning troll We’re going back to back, so it can never end Too easy and so simple (Rolly-rolly-rolly-roll) Without giving it much thought (Rolly-rolly-rolly-roll) We keep doing this In my head, I’m only streaming one melody all day long You feel it too, we’re not good at being consistent You are like you and I am like me It’s okay if it’s as bad as it is Because I love more looking at you from behind We’re lost in a circle This boring spinning troll We’re going back to back, so it can never end Too easy and so simple (Rolly-rolly-rolly-roll) Without giving it much thought (Rolly-rolly-rolly-roll) We keep doing this In my head, I’m only streaming one melody all day long"
Turn Up The Music,"Oh yeah ma baby I wanna dance right here And I want a kiss When the night comes, with no dignity I shake it up and down, left and right, front and back, wherever it is You’re setting the mood and it will be like hell It makes you rude but who cares dude So get up Hold your breath for a second and listen to me Let’s do something, do it all night long boy It’s 2 o’clock right now, lady so now I’m going crazy From now on, begin I can be tired tomorrow I don’t wanna care, I wanna go crazy Turn up the music You can throw a fit and jump All night long, my mood goes up up up up There’s no tomorrow The moment we meet eyes, it’ll begin again La la la la la la la la Turn up the music First. wake him up Because there’s no time to rest And make some noise Don’t care about people around you First, throw it all away Just take your confidence and swag Enjoy it Time is ticking, I want you, we’re together There’s nothing fake in here, everyone reaches the climax Whatever you want, it makes you smile I think I want that too So let’s get it started baby I want it, even for one more hour I’ve been exhausted by the same things every day But today is different, I wanna go crazy Your feelings have always repeated, why? Shout out louder than anyone else Will you close your eyes and come to me? Don’t stop"
Two,"You know You’re the only one I need right here in my life Oh, yeah ’cause you be like It’s filled with good memories Even the things that I didn’t like Even that is perfect in the end (yeah-yeah) I keep thinking about you more (yeah) You fill my head every night It’s gettin’ hard for me to fall asleep at night (yeah) Forget the two of us (yeah) Let me erase you all night (oh-oh) Nothin’ I do can get you off my mind (ooh) I’m flyin solo I’m drinkin’ every night (yeah-yеah) The two of us can see the end Words that I couldn’t keep No morе excuses, excuses, no more Gotta get through this through this All of it, stop it now, stop it now All the scenes together are paused, yeah You know it all, think back (yeah) You and I will eventually lost track The memory contained inside Seeing myself fading away easily (oh, no) You have no choice but to do this (prr, prr) You just say you can’t help it (yeah) Forget the two of us (yeah) Let me erase you all night (oh-oh) Nothin’ I do can get you off my mind I’m flyin’ solo I’m drinkin’ every night (yeah-yeah) The two of us can see the end Words that I couldn’t keep No more excuses excuses no more Gotta get through this through this I don’t want to understand it What am I even doing now? We both know that it’s over Your love is all I’m asking for (huh-ah-ah, ah-ah-ah) And I promise you that I’ll give you more of me Forget the two of us (forget the two) Let me erase you all night (let me) Nothin’ I do can get you off my mind (no) I’m flyin’ solo I’m drinkin’ every night (drinkin’ every night) The two of us can see the end Words that I couldn’t keep (I couldn’t keep) No more excuses, excuses, no more (hey) Gotta get through this through this"
UP NO MORE,"This night covered in thick darkness, me alone Cannot turn off my bright day Being alone again is overwhelming and frightening Darkness with only myself Yeah, in my head I’m caught up with unimportant thought No protagonist, no theme Story that is unnecessary from one to ten Again, all night After tonight Comes another overwhelming day Since I don’t know when It seeps in me Now stop, one two three So I can move away Will I be able to smile? I don’t wanna wanna be up, no no more I don’t wanna wanna be up up all night again Na na, not again, woo I don’t wanna, I don’t wanna waste my time Hope I will fall into a deeper night Hope I can move far far farther away, oh Um, if now gets longer and tomorrow comes again Stop stop, if you shake me a-again like this I want to remember that day I can only remember these chaotic nights, stop Since I don’t know when It seeps in me Now stop, one two three So I can move away From the day that will submerge deeply I don’t wanna wanna be up, no no more I don’t wanna wanna be up up all night again Na na, not again, woo I don’t wanna, I don’t wanna waste my time Hope I will fall into a deeper night Hope I can move far far farther away, oh A day like this becomes months and years I become nonchalant about it I’m afraid of losing myself This night full of thoughts Uh, this feeling in the darkness This feeling of swimming in deep water Yeah, it’s too cold My hands and feet touch nothing Hold me being like this and hug right now No matter how much I struggle, no I don’t wanna wanna be up, no no more oh I don’t wanna wanna be up up all night again I don’t wanna, I don’t wanna waste my time Oh, deepened night, will it end? Oh A day like this becomes months and years I become nonchalant about it I’m afraid of losing myself This night full of thoughts Uh, the long night I don’t wanna waste my time Woo yeah I close my eyes again today"
Voice Mail,"Maybe I hoped that it wouldn’t work out Starting from a few days ago, this heart pounding is torturing me day and night Because of you, I didn’t get a single wink of sleep last night Sorry, you probably felt it too If me being around you, clumsily trying to hide it, bothered you Then I apologize Actually, even now If I could, I want to keep denying it But honestly, don’t you have a little responsibility For making me so confused? Late at night, the phone vibrated And you woke me up with your low voice Telling me to remember to eat breakfast Your affectionate worries, did it really mean nothing? Don’t worry, it’s nothing serious I don’t care if I’m just a remedy to your boredom I’ll just be like this for a little while and take care of things on my own The recorded time is already Just past two minutes and thirty seconds Actually, I don’t have anything else to say Since I’m just doing this without any plan I’m so miserable till the end Why am I so pathetic? It wasn’t supposed to be like this I will always be waiting for a response But if I’m not the one, if I’m not the one If you’re not the one, then you’re not Then you’re not"
WALLFLOWER,"What do you think of me? Look me in the eyes A strange tension that surrounds you This is so awkward, what’s on your mind? I will take out into your heart Are you shy? I wonder why Come a little closer Flowing time, this hotter vibe Entrust yourself to this flowing sensation Won’t you dance with me? Wallflower This overwhelming feeling shakes you so dizzy Steal the hidden heart of yours Dance with me, dance with me Wallflower Your second hand that already responds quickly Somethin’ about tonight feels meant to be Dance with me, dance with me Wallflower Don’t over think it, it feels so hot Baby, let go and just feel the beat You are already blur in me What it feels like to be in love The moment the clock tilts Are you shy? I wonder why Take me out into your heart Wasting time no more Leave you into the rhythm Won’t you dance with me? Wallflower This overwhelming feeling shakes you so dizzy Steal the hidden heart of yours Dance with me, dance with me Wallflower Your second hand that already responds quickly Somethin’ about tonight feels meant to be Dance with me, dance with me Wallflower Wallflower, flower, flower Flow-ooh-ah, ah, mm, mm-ah-ah Ah, mm, mm, mm, mm Dance with me Wallflower, flower, flower Flow-ooh-ah, ah, mm, mm-ah-ah Ah, mm, mm, mm, mm Dance with me, wallflower One, two, let me see you move It became clearer in my heart Like I’m the only one Nobody but you Yeah tell me that, tell me that Tell me the truth It’s such a waste our hour We keep it going at all hours It becoming one naturally Like one, two, three Come, dance with me Wallflower (oh) In your heart, from the bottom to the top It feels like I’m floating into the sky (oh) Dance with me, dance with me (dance with me) Wallflower, it deepened my eyes (ah) Now, put your hands on me so everyone can see (one can see) Somethin’ about tonight feels meant to be (oh, yeah, yeah, oh) Dance with me, dance with me Wallflower"
WAVE,"Oh baby when I look at you Ooh why am I like this, I can’t forget you I’ll cherish forever, this moment You and me will be together forever Oh we’ll laugh ‘hahaha’ If I’m with you I’ll be happy Even if I’m sad I’ll laugh My heart that is swaying around In the rolling, shining silver waves Please hold me with your saving hand We’re riding through this wave We’re laughing through the pain I’m crossing the ocean to reach you I’m walking through this endless night to you walking to you You know, do you know that? We are fated by the heavens I’m riding on this wave I’m looking at my surroundings Who cares if I fall, A sun which is you Will pull me back So again, then again We can just get back up again My heart that is swaying around In the rolling, shining silver waves Please hold me with your saving hand We’re riding through this wave We’re laughing through the pain I’m crossing the ocean to reach you I’m walking through this endless night to you walking to you To you who’ll be standing over the horizon I hope my heart can reach you I’m reciting this voice on the sea We’re riding through this wave We’re laughing through the pain I’m crossing the ocean to reach you I’m walking through this endless night to you walking to you"
Waiting For You,I’ve been waiting for you I’ve been waiting for you Baby I know you need me too yeah Take me back to that time again I’ve been waiting for you I’ve been waiting for you Baby I know you need me too yeah Take me back to that time again I was so fool Go for a drive late at night yeah Don’t know why out my mind yeah I only look at my phone only for your call I want go back What should I do I need your love girl I still can’t forget about the memories of us come by my side by my side Let me make things right I’ve been waiting for you I’ve been waiting for you Baby I know you need me too yeah Take me back to that time again I’ve been waiting for you I’ve been waiting for you Baby I know you need me too yeah Take me back to that time again I was so fool I want to bring you Around the town Is that okay Every night I will take you home You know my way When I open my eyes in the morning I need you when you need me too Let me know I’m on my way You make me perfect girl I miss everything about you Come by my side by my side Let me make things right I’ve been waiting for you I’ve been waiting for you Baby I know you need me too yeah Take me back to that time again I’ve been waiting for you I’ve been waiting for you Take me back to that time again I was so fool
"Walk With Me, Girl","Girl, walk with me, far away I want to hear your story Girl, there’s no reason to rush It doesn’t look like it’ll rain Stepping on the sun-touched dirt I want to walk, following the wind If I meet someone, if I sing a song They will remember me When we return, our footsteps will be lighter In our hearts will be stories to tell Sometimes, let’s talk the long way (as we look at the sky) If we come across a road that’s too steep (even if it takes time) When the angry wind blows I will hold onto you When I’m out in the sun all day I find joy when I rest under the shade If you meet me, if you hear me Talk to me Even if you forget me tomorrow You’ll think of me at least for a day, some day Girl, walk with me, far away (as we look at the sky) I want to hear your story (I want to hear more) Girl, there’s no reason to rush It doesn’t look like it’ll rain"
We Are Bulletproof Pt. 2,"(What) Give it to me (What) Be nervous (What) The one to end it all (What) We are bulletproof We are bulletproof Bulletproof The name is Jung Kook, my scale is nationwide I pulled all-nighters at practice rooms instead of school, dancing and singing When you guys partied, I gave up sleep for my dreams I spent all night holding a pen, closing my eyes only after the morning sun rises My limit was broken in the double standards and many oppositions But I got lucky and was contacted by an agency All you who are called rappers because you can’t sing, the rapper title is an extravagance for you Everywhere I go, everything I do I will show you, as much as I sharpened my sword To all the people who looked down on me (Oh oh oh oh oh oh) hey shout it out Oh! Throw a stone at me if you’ve done as much as I did We go hard, we have no fear (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like Oh! Throw a stone at me if you’ve done as much as I did We go hard, we have no fear (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like (What) Give it to me (What) Be nervous (What) The one to end it all (What) We are bulletproof We are bulletproof Bulletproof Look at my profile, there’s nothing there yet Still a trainee and rapper man, yeah I do know that’s nothing I contemplated a lot but now I don’t need anything You’re still an amateur, I’m in the majors, hope you’ll rot like that Rap Monster, like my name, I can eat up any kind of beat like a monster I’m loyal to my name – guys come here, take a preview, I put a twist to being an idol Haha, hyungs who only had hip-hop pride told me it’d be impossible but Look carefully, I place a period after impossible I’m possible, now are we all set, boy? Everywhere I go, everything I do I will show you, as much as I sharpened my sword To all the people who looked down on me (Oh oh oh oh oh oh) hey shout it out Oh! Throw a stone at me if you’ve done as much as I did We go hard, we have no fear (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like Oh! Throw a stone at me if you’ve done as much as I did We go hard, we have no fear (Click click, bang bang) we juss sing it like (Click click, bang bang) we juss sing it like (What) Give it to me (What) Be nervous (What) The one to end it all (What) We are bulletproof We are bulletproof Bulletproof Bulletproof"
"We Are Bulletproof, Pt. 2","[방탄소년단 ""We Are Bulletproof, Pt. 2"" 가사] [Intro: RM] (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof [Verse 1: Jung Kook, SUGA] 이름은 Jung Kook, 스케일은 전국 학교 대신 연습실에서 밤새 춤을 추고 노래 불렀네 너희가 놀 때, 난 꿈을 집도하며 잠을 참아가며 매일 밤새 볼펜을 잡네 아침 해가 뜬 뒤에 나 눈을 감네 이중잣대와 수많은 반대 속에서 깨부숴버린 나의 한계 그에 반해 재수 좋게 회사에 컨택된 속칭 노래 못 해 랩퍼를 당한 너희에게 랩퍼라는 타이틀은 사치 [Pre-Chorus: V] Everywhere I go, everything I do 나 보여줄게 칼을 갈아왔던 만큼 날 무시하던 많은 사람들 이젠 (Oh, oh, oh, oh, oh, oh) Hey, shout it out [Chorus: Jimin, j-hope] Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we just sing it like (Click click, bang bang) we just sing it like Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we just sing it like (Click click, bang bang) we just sing it like [Post-Chorus: RM] (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof [Verse 2: j-hope, RM] Look at my profile, 아직 아무것도 없지 Still 연습생 and 랩퍼맨 Yeah I do know that's nothin' 고민도 했지만 이제 필요 없어졌지 넌 아직도 아마추어 난 메이저, 쭉 그렇게 썩길 랩몬스터, 말처럼 괴물같이 무슨 비트든 간에 난 싹 집어삼켜 충실한 이름값 얘들아 이리와 미리 봐 한낱 아이돌의 반전 하하 힙부심뿐인 형들은 불가능하다 했지 but 똑똑히 봐 이걸 impossible에 마침표 찍어 I'm possible 자 이제 됐니 boy [Pre-Chorus: Jin] Everywhere I go, everything I do 나 보여줄게 칼을 갈아왔던 만큼 날 무시하던 많은 사람들 이젠 (Oh, oh, oh, oh, oh, oh) Hey, shout it out [Chorus: Jimin, j-hope] Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we just sing it like (Click click, bang bang) we just sing it like Oh! 나만치 해봤다면 돌을 던져 We go hard 우린 겁이 없어 (Click click, bang bang) we just sing it like (Click click, bang bang) we just sing it like [Post-Chorus: RM] (What) 이리 내놔 (What) 긴장해 다 (What) 끝판대장 (What) We are bulletproof We are bulletproof Bulletproof Bulletproof"
We Are Young,Ay I beg that tomorrow will be different That I will be a step closer to the picture I imagined Somewhere awkward breathing One thing that filled up the empty spot Yeah the love you gave Uh the light of my life When our eyes meet I smile Automatically straighten the shoulders that were loss of energy Fresh air that makes me breathe I’m certain it’s you Oh oh oh oh The moment that makes me happy all of a Sudden Everytime I look for the reason that’s you popped out of nowhere the perfect fitting Piece I fill myself up with you Day by day each day oh I become complete Even though its a bit reckless & a lot unskilled I give everything that I have Baby I will love you Just our story is very special Girl one thing is for sure Cuz we are young young young young I don’t wanna waste it Young young young young Whatever it is I’m gonna face it You and me who held hands are together so let’s get it This moment that’s forever There’s nothing to lose I mean it Young young young young I don’t wanna waste it I don’t want to ever lose it (You) again At this moment we Stay stay stay in love Just doin’ it and live in it I’m lovin’ it that’s right Ya the days when the steps were especially heavy So I walked by dragging my feet The only answer that made me smile Seeing your happy face Makes me smile Your existence that was constant Is a comfort to me all day and night When I look up and see the sky That blue sky is soon our future With your small hands You hold my hands tightly No matter which path it is I climb climb climb When I climb up I think again Who knows The more I think the clearer it is Today and tomorrow if we’re together Even a closed path will open up soon When tears falls without anyone knowing Only you stay by my side Baby I will love you Our story is complete with you Girl one thing is for sure Cuz we are young young young young I don’t wanna waste it Young young young young Whatever it is I’m gonna face it You and me who held hands are together so let’s get it This moment that’s forever There’s nothing to lose I mean it If I’m with you I will be okay be okay My heart is already enough Let’s not have something like regret There’s nothing that’s impossible As long as I’m with you Young young young young I don’t wanna waste it I don’t want to ever lose it (You) again At this moment we Stay stay stay in love Just doin’ it and live in it I’m lovin’ it that’s right
We On ,"Whatever they say, I’m here for my muzik Here for my muzik, here for my muzik Whatever ma haters say, I’m real for my muzik Real for my muzik, real for my muzik Runch Randa and Rapmon are both part of me The envy of the aspiring rappers my age You guys only see what you want to see anyway You foolish and young’ins with short educations like capri pants When you rap about love and affection, I rap about big things Those smack-cracker dolls who are filled with inferiority complexes Talk smack about my sunglasses, my hairstyle, my name It’s sad comedy of losers in reality My rap smothers you, making you suffocate Head-scratching kids who say they hate the busy world of K-Pop Pretending to be someone they’re not, I know you suck suck Damn fan, the public, manias, yeah I’m makin’ em mine Big Hit and BTS, yeah I’m makin’ em shine Hooligans who will bring the value of our name, I’ve never wanted a hole-in-one Yeah I wanna be the one, not number one but the only one Swag I don’t know you and you don’t know me so please shut up Don’t worry about me, I’m better than you and will continue to be so Where are all the friends who looked down on my since before? We on This isn’t a joke, I’ll show you, I promise ya, we on (Gimme dat, real fact) I’ll show you, I promise ya, we on (Gimme dat, real fact) I’ll show you, I promise ya, we on Whatever they say, I’m here for my muzik Here for my muzik, here for my muzik Whatever ma haters say, I’m real for my muzik Real for my muzik, real for my muzik Oh oh my haters, talk more smack about me Keyboard warriors, make some more effort Yes, look down on me like that It’s my hobby to prove you wrong Uh my skills become a controversy, it’s too early to draw a conclusion I’m killa, Jack the Ripper, I’ll pierce you with my sharp tongue I’m illa, even if I’m lazy, I’m busier than you – hit home? The haters who looked down on me before my debut You will filled with hip-hop pride but now you’re beneath me Look carefully, I’m in the majors, jealous? Hey chaser I think it’s too much for you to follow, just stay there These lyrics I wrote myself is a hand-lib I graduated from being a trainee, celebrate I’m a rap blackbelt, you’re just a green belt There’s no growth, hey guys, feel more inferior I don’t know you and you don’t know me so please shut up Don’t worry about me, I’m better than you and will continue to be so Where are all the friends who looked down on my since before? We on This isn’t a joke, I’ll show you, I promise ya, we on (Gimme dat, real fact) I’ll show you, I promise ya, we on (Gimme dat, real fact) I’ll show you, I promise ya, we on 2 COOL 4 SKOOL promotions received standing ovations This is for all the kids who smirked at us “Congratulations” – yeah right, you’re just saying that for connections If so, your senses have rot, cut them out Uh now our level has changed, he knows and she knows Everyone’s number one interest, it’s too early to be awed, look out for my future I’ll go toward the path of my success as much as you looked down on me I don’t know you and you don’t know me so please shut up Don’t worry about me, I’m better than you and will continue to be so Where are all the friends who looked down on my since before? We on This isn’t a joke, I’ll show you, I promise ya, we on (Gimme dat, real fact) I’ll show you, I promise ya, we on (Gimme dat, real fact) I’ll show you, I promise ya, we on Whatever they say, I’m here for my muzik Here for my muzik, here for my muzik Whatever ma haters say, I’m real for my muzik Real for my muzik, real for my muzik"
We On,"[방탄소년단 ""We On"" 가사] [Intro: RM] Hey, swag, swag (Hm-hm) [Refrain: RM] Whatever they say I'm here for my music Here for my music H-here for my music Whatever my haters say I'm real for my music Real for my music R-real for my music [Verse 1: RM] 런치란다와 랩몬 모두 나의 일부 또래 랩퍼 지망생들의 질투 어차피 니들은 보고 싶은 것만 보지 멍청한 어린 꼰대들 가방끈이 짧아, 7부 니가 귀염을 토할 때 난 기염을 토해 열등감에 찬 저 모두까기 인형들 또 내 선글라스, 내 헤어스타일 내 이름 모두를 까내리지 현실찐따들의 비극적인 코미디 숨이 턱턱 막히게 널 덮쳐버리는 내 랩 좀 텁텁하고 섭섭해하던 널 단번에 벙쪄버리게 해 이렇게 뻑뻑한 가요계가 싫다면서 벅벅 머리 긁는 애들의 척 척 I know you 썩썩 Damn 팬, 대중, 매니아 Yeah I'm makin' 'em mine 빅힛과 방탄소년단 Yeah I'm makin' 'em shine 이름값을 해낼 훌리건 바란 적 없어 홀인원 Yeah, bitch wanna be the one 넘버원이 아닌 only one Swag [Chorus: Jung Kook, Jimin Jin, V & Jung Kook, (RM)] 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 I promise ya, we on (Gimme dat, real fact) 보여줄게 I promise ya, we on (Gimme dat, real fact) 보여줄게 I promise ya, we on [Refrain: RM] Whatever they say I'm here for my music Here for my music H-here for my music Whatever my haters say I'm real for my music Real for my music R-real for my music [Verse 2: SUGA] Oh oh my haters 좀 더 욕해줘 키보드 워리어, 노력해 좀 그래 그렇게 무시해줘 니가 틀렸단 걸 증명하는 게 취미에요 Uh 논란되는 실력 날 속단하긴 일러 I'm killa 잭 더 리퍼 날 세운 혀로 널 찔러 I'm illa 난 게을러도 너보다는 바빠, 찔려? 데뷔 전 무시하던 hater 힙부심 가득한 너는 이젠 내 밑에 있어 잘 봐라 나는 메이저 부럽지, hey, chaser 내가 보기엔 따라오기엔 벅차 그냥 거기 있어 내 손으로 직접 내린 이 가사는 핸드드립 연습생 졸업했지, celebrate 난 랩 블랙벨트 너흰 그냥 그린벨트 발전이 없어, hey, guys 좀 더 열폭을 해 [Chorus: Jung Kook, Jimin Jin, V & Jung Kook, (RM)] 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 I promise ya, we on (Gimme dat, real fact) 보여줄게 I promise ya, we on (Gimme dat, real fact) 보여줄게 I promise ya, we on [Verse 3: j-hope] 2 Cool 4 Skool 활동은 기립박수 이건 코웃음 치던 애들에게 던지는 한 수 “축하해” 퍽이나 인맥을 위한 고정멘트 그런 거라면 니 “감”은 썩었어, 도려내 Uh 이젠 급이 달라진 놈 He knows and she knows 모두의 관심대상 1호 감탄은 일러 지켜봐 내 미래 니가 무시한 만큼 난 성공의 길로 진행 [Chorus: Jung Kook, Jimin Jin, V & Jung Kook, (RM)] 난 널 몰라 또 넌 날 몰라 제발 닥쳐주겠니 나는 걱정 마, 좋아 너보다 앞으로도 그럴 테지 예전부터 날 무시했던 친구들 다 어디 있어 we on 이건 장난 같은 게 아냐 보여줄게 I promise ya, we on (Gimme dat, real fact) 보여줄게 I promise ya, we on (Gimme dat, real fact) 보여줄게 I promise ya, we on [Refrain: RM] Whatever they say I'm here for my music Here for my music H-here for my music Whatever my haters Say I'm real for my music Real for my music R-real for my music"
When Love Passes,"Though he looks at me, I don’t know him Though my pounding heart is aching, I don’t know you anymore Though you know me, I can’t remember you Though my throat dries up and tears fall, when love passes by When that face that I missed so much passes by I have no regrets as I see your emptiness Though you know me, I can’t remember you Though my throat dries up and tears fall, when love passes by"
When your words became su,"When your words became such strength to me I know I’ll promise you, I won’t disappoint you (I’ll promise you, I’ll always make you smile) Promise me, just stay like you are right now (Promise me so I can see you) Your heart that must have been in such pain I will hold it tight Even after time, I couldn’t say anything and just swallowed my words Words saying, I’m sorry, I love you, please believe in me like you do now I’ll hug you, I’ll hold your hands If we can be together forever I’ll give you my all I promise you"
Where Did You Come From,"Girl, where did you come from? What a mystery, where are you going? How old are you? Are you older than me? You’re not? Then I’m your oppa! (Awesome) Your face is so small and pretty You look fresh like a salad, so smooth Did you eat? I’m not just hitting on you Wanna get a cup of coffee? Is coffee okay? Pretty eyes, pretty nose, you’re so pretty Just looking at you makes me happy But where did you come from? You’re so pretty Cupid’s arrow pierced my heart Anyway, you’re such a fair lady Any guy can fall for you after looking at you I need to approach you before someone else steals yo I will bite down on you first Where did you come from? Will you tell me your name? I’m so curious I’m really so curious Where did you come from? Will you tell me your name? I’m so curious I’m really so curious I’m from Busan, you’re from Gwangju But we’re the same Even here in Seoul, even there in Jeju Island Everyone is in love, oh yeah Stop playing hard to get before I kick you in the butt Don’t make me mad, before I change my mind That guy is no good, are you acting this way because of him? Of course I’m mad because you like him and not me Girl, are you joking? Are you blind? The world is covered with guys like that That guy only knows himself My heart is all yours now, I only know you Oh my, look at what this girl is doing to me What she’s doing to me is no joke If you keep doing that, my heart will be trembling My hands will shake and I’ll run out of breath Are you saying you like me right now? Is that how you feel right now? I guess you are attracted to Jeolla-do guys Oh right, where are you from again? Where did you come from? Will you tell me your name? I’m so curious I’m really so curious Where did you come from? Will you tell me your name? I’m so curious I’m really so curious I don’t care if you’re from the moon or the stars You’re the same as me You’re a cool girl I’m a pretty cool guy too We have no choice but to fall in love Yeah I’m fallin in love Where did you come from? Will you tell me your name? I’m so curious I’m really so curious Where did you come from? Will you tell me your name? I’m so curious I’m really so curious I’m from Busan, you’re from Gwangju But we’re the same Even here in Seoul, even there in Jeju Island Everyone is in love, oh yeah"
